# word<TAB>count — self-count of Gutenberg PD texts; not CC-BY-SA wordfreq
# Sources: pg11.txt, pg1661.txt, pg1342.txt, pg84.txt, pg46.txt, pg35.txt
wet	19
worked	19
acted	18
adventures	18
aid	18
altered	18
apartment	18
apprehension	18
attempted	18
bank	18
begun	18
bowed	18
capital	18
carrying	18
cellar	18
cloud	18
coloured	18
communication	18
comply	18
concealed	18
confused	18
coroner	18
delicacy	18
description	18
disagreeable	18
disposed	18
doubtless	18
drop	18
entrance	18
exertion	18
falling	18
fatigue	18
felicity	18
fezziwig	18
fields	18
gain	18
german	18
gown	18
gradually	18
guilt	18
habits	18
hatherley	18
hers	18
horses	18
ignorance	18
impressed	18
increasing	18
indifference	18
indifferent	18
introduction	18
joe	18
keeping	18
leaning	18
lessons	18
lies	18
metal	18
mile	18
mistress	18
mon	18
narrative	18
nonsense	18
objection	18
palace	18
patient	18
press	18
remaining	18
remarks	18
residence	18
safety	18
senses	18
service	18
shade	18
shot	18
somebody	18
somewhere	18
spare	18
species	18
spread	18
subjects	18
supper	18
tail	18
thither	18
tolerable	18
traces	18
travel	18
unlike	18
valuable	18
vanity	18
visitors	18
waves	18
wept	18
wishing	18
wondering	18
wound	18
wretchedness	18
youngest	18
advise	17
animated	17
assist	17
assurance	17
borne	17
buy	17
chiefly	17
coffee	17
commence	17
completely	17
condition	17
conveyed	17
crimes	17
criminal	17
crown	17
daily	17
deadly	17
deserted	17
doesn	17
eagerness	17
envelope	17
examining	17
faced	17
filby	17
finish	17
fled	17
formerly	17
french	17
frost	17
gazed	17
grieved	17
guilty	17
hastened	17
height	17
incapable	17
indignation	17
intense	17
irene	17
kent	17
lever	17
liberty	17
literary	17
marleys	17
material	17
modern	17
neighbours	17
occur	17
older	17
page	17
parlour	17
performed	17
politeness	17
prevailed	17
pronounced	17
reasoning	17
remarkably	17
remorse	17
scattered	17
secrecy	17
setting	17
severe	17
sincerely	17
song	17
spared	17
star	17
stream	17
struggle	17
suspected	17
takes	17
thumb	17
tolerably	17
trap	17
upper	17
uttered	17
ventured	17
voyage	17
wealth	17
wear	17
whence	17
whisper	17
abode	16
accomplished	16
adler	16
admired	16
admit	16
advance	16
alarmed	16
arrive	16
aspect	16
assistant	16
associated	16
attending	16
attracted	16
bearing	16
begged	16
benevolent	16
born	16
boscombe	16
built	16
candle	16
cigar	16
clay	16
clergyman	16
clerk	16
collected	16
conceive	16
confined	16
conjecture	16
console	16
contained	16
cook	16
crowded	16
danced	16
degrees	16
deprived	16
dimensions	16
distinguished	16
disturbed	16
dreams	16
effects	16
enjoyed	16
execution	16
expense	16
experienced	16
extent	16
fairly	16
fitted	16
footman	16
gate	16
gloomy	16
gratified	16
grounds	16
guard	16
hatred	16
hideous	16
impatient	16
incident	16
ingolstadt	16
jacob	16
jones	16
keen	16
lighted	16
list	16
loudly	16
magistrate	16
meat	16
method	16
mighty	16
motionless	16
motives	16
natured	16
notion	16
objections	16
openshaw	16
owe	16
parties	16
plans	16
precisely	16
preserve	16
probability	16
recollected	16
results	16
rude	16
rule	16
series	16
shake	16
shock	16
sleeping	16
source	16
staying	16
storm	16
studies	16
sufferings	16
thou	16
tongue	16
uncomfortable	16
using	16
utterly	16
views	16
working	16
actions	15
agitated	15
alteration	15
animals	15
apology	15
arise	15
armchair	15
arose	15
attend	15
authority	15
behold	15
believing	15
bitterly	15
bitterness	15
boast	15
breaking	15
careful	15
ceiling	15
charm	15
chimney	15
coach	15
commission	15
comparison	15
condemned	15
contrast	15
convey	15
copper	15
copy	15
corridor	15
curtains	15
debts	15
deeper	15
demand	15
den	15
deny	15
descended	15
detail	15
directions	15
disgrace	15
disgust	15
distinguish	15
distressed	15
donations	15
elder	15
elegant	15
esteem	15
etc	15
examine	15
exercise	15
expressions	15
fearful	15
female	15
fifteen	15
follows	15
forms	15
friendly	15
gentleness	15
georgiana	15
glimpse	15
gloves	15
harm	15
heat	15
higher	15
hopeless	15
hotel	15
hurt	15
imagined	15
impatience	15
impatiently	15
improvement	15
increase	15
introduced	15
invited	15
kissed	15
lucases	15
managed	15
market	15
nieces	15
nights	15
notes	15
obtain	15
ocean	15
official	15
partiality	15
parting	15
passions	15
personal	15
picked	15
played	15
portion	15
possess	15
prejudice	15
prepare	15
prisoner	15
professional	15
protested	15
provide	15
punishment	15
quarters	15
reasons	15
recover	15
refuge	15
rejoiced	15
render	15
renewed	15
repeat	15
sacrifice	15
savage	15
sentiments	15
settle	15
shop	15
showing	15
shutters	15
silver	15
smallest	15
statement	15
style	15
sunday	15
supply	15
thirst	15
thoroughly	15
thousands	15
throat	15
thrust	15
toller	15
undertaking	15
waistcoat	15
wandering	15
waste	15
worst	15
actual	14
addition	14
advantages	14
america	14
amidst	14
amongst	14
arabian	14
argument	14
arguments	14
awake	14
awkward	14
banks	14
bars	14
becomes	14
birth	14
bottle	14
bought	14
breast	14
breathing	14
breeze	14
ceremony	14
clad	14
confessed	14
consciousness	14
consequently	14
correct	14
cousins	14
cup	14
dashed	14
declare	14
deduce	14
depart	14
destiny	14
dinah	14
displayed	14
distinctly	14
doubted	14
dreadfully	14
em	14
endeavours	14
enthusiasm	14
everyone	14
excessively	14
families	14
farewell	14
fee	14
fool	14
fourth	14
freedom	14
gravely	14
haste	14
hovel	14
idle	14
impulse	14
including	14
inform	14
inhabitants	14
inquire	14
intercourse	14
interference	14
knee	14
lad	14
laying	14
lonely	14
lot	14
marks	14
meantime	14
missing	14
mortal	14
nerves	14
occupations	14
orange	14
paragraph	14
pavement	14
perform	14
phantom	14
pig	14
plenty	14
pockets	14
poverty	14
powerful	14
pressing	14
presume	14
produce	14
qualities	14
quality	14
quarrel	14
quest	14
rang	14
reality	14
recent	14
recognised	14
recollect	14
recommend	14
reference	14
remembrance	14
reminded	14
reproach	14
restless	14
reward	14
rock	14
sentiment	14
shed	14
shire	14
sick	14
silly	14
similar	14
smell	14
social	14
somehow	14
splendid	14
staggered	14
staring	14
succeed	14
swear	14
swept	14
thanked	14
tide	14
torture	14
trademark	14
uneasy	14
unexpected	14
unwilling	14
variety	14
ventilator	14
wasn	14
waters	14
wherever	14
wine	14
wit	14
yards	14
according	13
accused	13
active	13
affections	13
afforded	13
amazement	13
archive	13
ardour	13
assembled	13
awful	13
banker	13
barred	13
benefit	13
benevolence	13
board	13
branch	13
bride	13
bridge	13
brothers	13
cards	13
cats	13
causes	13
chaise	13
checked	13
cheerfulness	13
closely	13
compliments	13
composed	13
conceived	13
confirmed	13
conscience	13
conscious	13
considerably	13
content	13
convenient	13
cost	13
crept	13
custom	13
dances	13
deserve	13
destined	13
determination	13
dignity	13
dirty	13
disturb	13
dodo	13
dogs	13
domestic	13
driving	13
east	13
ebook	13
efforts	13
emerged	13
employment	13
